nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
8f6cc697ff4a0cda_crop1.png;pixelseal;img_dirette;Attaccata;0.8242;0.1165
5c407d026717acce_crop3.png;pixelseal;img_dirette;Pulita;0.4844;-0.0128
5c407d026717acce_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.004
5c407d026717acce_crop3.png;pixelseal;img_dirette;Attaccata;0.875;-0.0686
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Pulita;0.5156;-0.0174
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0578
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Attaccata;0.8555;-0.0616
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Pulita;0.5391;-0.0132
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.1728
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Attaccata;0.8086;0.0303
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Pulita;0.4688;-0.0141
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0337
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Attaccata;0.8672;0.0104
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Pulita;0.5352;-0.0113
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0877
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Attaccata;0.8125;-0.0759
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Pulita;0.4453;-0.0169
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.2258
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Attaccata;0.9297;-0.1231
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Pulita;0.5;-0.0402
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.0179
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Attaccata;0.8555;0.0915
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Pulita;0.4883;-0.0271
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0902
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Attaccata;0.9648;0.0475
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Pulita;0.4844;-0.0201
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0219
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Attaccata;0.8633;-0.0351
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Pulita;0.4727;-0.0323
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.2939
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Attaccata;0.9297;-0.1153
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Pulita;0.5195;-0.0344
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0553
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Attaccata;0.8789;-0.0391
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Pulita;0.5352;0.0002
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.1247
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Attaccata;0.8125;0.0262
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Pulita;0.4688;-0.022
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0976
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Attaccata;0.8047;0.0346
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Pulita;0.5859;-0.0306
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.09
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Attaccata;0.8125;-0.107
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Pulita;0.4883;0.0003
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.1057
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Attaccata;0.9414;-0.0918
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Pulita;0.5;-0.0282
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.1661
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Attaccata;0.8867;0.0543
